example_id,text,reference_label,context
AIFIT-EMO-162,i made a list of the items i need from the shop,neutral,general
AIFIT-EMO-163,i want to be productive but i can feel myself slowing down,fatigue,general
AIFIT-EMO-164,my class starts at 2 and finishes at 4,neutral,general
AIFIT-EMO-165,i keep saying later even though there is no real reason to wait,low motivation,general
AIFIT-EMO-166,i feel ready to get back into my routine and take it seriously,high motivation,fitness
AIFIT-EMO-167,today has been long and i have almost no energy left,fatigue,general
AIFIT-EMO-168,ive stopped caring whether i finish the small goals i set for myself,low motivation,general
AIFIT-EMO-169,i keep my training plan in a note on my phone,neutral,fitness
AIFIT-EMO-170,i still care about finishing this but i am running low on energy,fatigue,general
AIFIT-EMO-171,i wake up already dreading the list of things i have to deal with,burnout,general
AIFIT-EMO-172,ive been doing everything according to plan but i still feel worn down and disconnected,burnout,fitness
AIFIT-EMO-173,i have 1 appointment in the morning and none in the afternoon,neutral,general
AIFIT-EMO-174,ive been putting pressure on myself every day and i can tell im reaching my limit,burnout,fitness
AIFIT-EMO-175,my muscles feel fine but i am struggling to stay awake,fatigue,fitness
AIFIT-EMO-176,i am keen to keep my routine going but i need more sleep first,fatigue,fitness
AIFIT-EMO-177,i feel like challenging myself a little more at the gym today,high motivation,fitness
AIFIT-EMO-178,im excited about this project and i want to see how far i can take it,high motivation,general
AIFIT-EMO-179,nothing is particularly difficult today i just cannot get myself moving,low motivation,general
AIFIT-EMO-180,ive decided to improve my form and im excited to practise it,high motivation,fitness
AIFIT-EMO-181,i had a good session yesterday and i want to keep the progress going,high motivation,fitness
AIFIT-EMO-182,i know i will regret delaying this but i am still avoiding it,low motivation,general
AIFIT-EMO-183,i still want to exercise but i feel drained after being awake all night,fatigue,fitness
AIFIT-EMO-184,im proud of how consistent ive been and i want to continue,high motivation,fitness
AIFIT-EMO-185,i have been yawning all afternoon but i still want to do something active,fatigue,fitness
AIFIT-EMO-186,i still feel positive about my plan but i am too tired to perform well today,fatigue,fitness
AIFIT-EMO-187,my session starts with a warm up and ends with stretching,neutral,fitness
AIFIT-EMO-188,i feel like ive been running on empty for weeks without getting a proper chance to recover,burnout,general
AIFIT-EMO-189,i am not especially tired i just dont want to work out today,low motivation,fitness
AIFIT-EMO-190,every day has felt demanding lately and im starting to feel detached from everything,burnout,general
AIFIT-EMO-191,lately it takes a lot of convincing just to begin basic tasks,low motivation,general
AIFIT-EMO-192,i need to finish 1 more thing but my brain feels too sleepy,fatigue,general
AIFIT-EMO-193,i have 2 chapters left to read this week,neutral,general
AIFIT-EMO-194,i still want to exercise so i might do a shorter session today,fatigue,fitness
AIFIT-EMO-195,i have been awake since very early and now i can barely concentrate,fatigue,general
AIFIT-EMO-196,even if i struggle with a few sets i am going to keep trying,high motivation,fitness
AIFIT-EMO-197,i am keen to finish the workout i planned instead of cutting it short,high motivation,fitness
AIFIT-EMO-198,my programme changes at the beginning of next month,neutral,fitness
AIFIT-EMO-199,i am going to rest tonight because i can barely keep my eyes open,fatigue,fitness
AIFIT-EMO-200,i used to take pride in my work but now i just want the day to end,burnout,general
AIFIT-EMO-201,i have an online class later this evening,neutral,general
AIFIT-EMO-202,i am working from home today and going to the office tomorrow,neutral,general
AIFIT-EMO-203,ive spent most of the day scrolling instead of starting my work,low motivation,general
AIFIT-EMO-204,ive been making excuses even though i know i have time,low motivation,fitness
AIFIT-EMO-205,ive spent weeks trying not to fall behind and i cant keep this pace much longer,burnout,fitness
AIFIT-EMO-206,i usually train on monday wednesday and friday,neutral,fitness
AIFIT-EMO-207,ive ignored needing a proper break for too long and now every session feels overwhelming,burnout,fitness
AIFIT-EMO-208,i want to stay consistent because i can see my effort paying off,high motivation,fitness
AIFIT-EMO-209,im looking forward to seeing what i can achieve this week,high motivation,fitness
AIFIT-EMO-210,ive had plenty of rest but i still have no urge to start,low motivation,fitness
AIFIT-EMO-211,my energy suddenly dropped this afternoon and i have been moving slowly since,fatigue,general
AIFIT-EMO-212,no matter how much i finish i still feel behind and it is wearing me down,burnout,general
AIFIT-EMO-213,i wrote down the tasks i need to complete today,neutral,general
AIFIT-EMO-214,i recorded the length of my walk after lunch,neutral,fitness
AIFIT-EMO-215,i would like to go out tonight but i am too tired after the day ive had,fatigue,general
AIFIT-EMO-216,lately i keep choosing anything else over going to the gym,low motivation,fitness
AIFIT-EMO-217,i finished work and im deciding whether to train this evening,neutral,fitness
AIFIT-EMO-218,no one is stopping me i just dont feel like putting in the effort,low motivation,general
AIFIT-EMO-219,ive got a good feeling about today and im ready to begin,high motivation,general
AIFIT-EMO-220,i keep planning a session then finding another reason to delay it,low motivation,fitness
AIFIT-EMO-221,ive planned my session and i cant wait to get started,high motivation,fitness
AIFIT-EMO-222,my workout felt harder today because i did not rest properly last night,fatigue,fitness
AIFIT-EMO-223,i dont think 1 good night of sleep will fix how worn down ive been feeling,burnout,general
AIFIT-EMO-224,i know this will not be easy but i still want to take it on,high motivation,general
AIFIT-EMO-225,i woke up tired and have been yawning since breakfast,fatigue,general
AIFIT-EMO-226,lately i finish each session feeling empty instead of accomplished,burnout,fitness
AIFIT-EMO-227,i am not upset about anything i just did not get enough rest,fatigue,general
AIFIT-EMO-228,i took the train into town this morning,neutral,general
AIFIT-EMO-229,i did not rest enough and now i am feeling it,fatigue,general
AIFIT-EMO-230,i opened my training plan and closed it again without doing anything,low motivation,fitness
AIFIT-EMO-231,i feel physically tired but i am still interested in what we are doing,fatigue,general
AIFIT-EMO-232,the pressure has been building for a while and now i feel completely worn down,burnout,general
AIFIT-EMO-233,i have things i could get done today but i dont feel like starting any of them,low motivation,general
AIFIT-EMO-234,i know the work matters but right now i dont feel driven to do it,low motivation,general
AIFIT-EMO-235,weekends dont feel restful anymore because im always thinking about what comes next,burnout,general
AIFIT-EMO-236,ive made a list but i have no interest in working through it,low motivation,general
AIFIT-EMO-237,i know it will take effort but i am determined to finish it,high motivation,general
AIFIT-EMO-238,i am trying to listen but my eyes keep closing on their own,fatigue,general
AIFIT-EMO-239,i could make progress today but i would rather leave it alone,low motivation,general
AIFIT-EMO-240,i saved the file in the project folder,neutral,general
AIFIT-EMO-241,ive been delaying this assignment because i just dont want to begin,low motivation,general
AIFIT-EMO-242,ive kept training through stress for weeks and i dont feel like myself anymore,burnout,fitness
AIFIT-EMO-243,ive organised everything i need and i am ready to begin,high motivation,general
AIFIT-EMO-244,ive been trying to stay strong for everyone and now i feel like i have hit a wall,burnout,general
AIFIT-EMO-245,i woke up feeling ready to make the most of the day,high motivation,general
AIFIT-EMO-246,my routine has become something i dread but i keep doing it because i feel like i have to,burnout,fitness
AIFIT-EMO-247,ive stopped looking forward to training and now i keep avoiding it,low motivation,fitness
AIFIT-EMO-248,i have been waiting for training day and im ready to begin,high motivation,fitness
AIFIT-EMO-249,i keep acting like i can handle everything but inside i feel completely spent,burnout,general
AIFIT-EMO-250,i still want to join everyone later if i have enough energy,fatigue,general
AIFIT-EMO-251,i keep telling myself to push harder but part of me has completely checked out,burnout,fitness
AIFIT-EMO-252,ive been focused on results for so long that training doesnt feel enjoyable anymore,burnout,fitness
AIFIT-EMO-253,feeling good today and actually looking forward to my workout,high motivation,fitness
AIFIT-EMO-254,i took the bus to the gym and walked home afterward,neutral,fitness
AIFIT-EMO-255,i feel unusually sleepy today so recovery probably makes more sense,fatigue,fitness
AIFIT-EMO-256,i woke up ready to get moving and make this workout count,high motivation,fitness
AIFIT-EMO-257,i slept badly and now i am struggling to keep my eyes open at work,fatigue,general
AIFIT-EMO-258,i have kept pushing through work and study but now i feel mentally checked out,burnout,general
AIFIT-EMO-259,i want to make the most of todays session and stay focused,high motivation,fitness
AIFIT-EMO-260,my gym clothes are ready but i still dont want to leave the house,low motivation,fitness
AIFIT-EMO-261,i am keen to take the next step instead of waiting any longer,high motivation,general
AIFIT-EMO-262,trying to manage workouts meals and everything else has started to feel unbearable,burnout,fitness
AIFIT-EMO-263,i am still interested in training but physically i feel completely tired,fatigue,fitness
AIFIT-EMO-264,i want to keep going but my body needs a break right now,fatigue,general
AIFIT-EMO-265,im excited to train today and see if i can improve from last week,high motivation,fitness
AIFIT-EMO-266,ive had no real space to breathe and it is starting to affect everything i do,burnout,general
AIFIT-EMO-267,i feel confident that i can complete the full workout today,high motivation,fitness
AIFIT-EMO-268,i am meeting a friend after work tomorrow,neutral,general
AIFIT-EMO-269,i checked the timetable before planning my journey,neutral,general
AIFIT-EMO-270,i could probably continue but i would not do my best in this state,fatigue,general
AIFIT-EMO-271,i keep moving tasks to tomorrow without even attempting them,low motivation,general
AIFIT-EMO-272,there is nothing wrong with my body i just dont want to train,low motivation,fitness
AIFIT-EMO-273,i replied to the email and saved the document,neutral,general
AIFIT-EMO-274,i am trying to stay awake long enough to finish this last task,fatigue,general
AIFIT-EMO-275,i printed the form and placed it in my bag,neutral,general
AIFIT-EMO-276,i planned to exercise after lunch but i keep pushing it later,low motivation,fitness
AIFIT-EMO-277,ive had no proper break from training and im starting to dread every session,burnout,fitness
AIFIT-EMO-278,i am not avoiding the gym i just need some sleep before i go,fatigue,fitness
AIFIT-EMO-279,i am looking forward to seeing what i can accomplish,high motivation,general
AIFIT-EMO-280,the idea sounded good yesterday but today i have no interest in it,low motivation,general
AIFIT-EMO-281,i feel ready to take on something challenging today,high motivation,general
AIFIT-EMO-282,i woke up at 7 and left the house at 8,neutral,general
AIFIT-EMO-283,i know what needs to be done i just dont feel like doing it,low motivation,general
AIFIT-EMO-284,i dont feel excited about progress anymore i just feel pressured to continue,burnout,fitness
AIFIT-EMO-285,i did the same number of exercises as last week,neutral,fitness
AIFIT-EMO-286,i have been avoiding things i normally choose to do,low motivation,general
AIFIT-EMO-287,i have everything i need to start but i still dont feel ready to bother,low motivation,general
AIFIT-EMO-288,ive lost the sense that any of this effort is leading somewhere,burnout,general
AIFIT-EMO-289,even simple workouts feel like too much after trying to stay consistent through all this stress,burnout,fitness
AIFIT-EMO-290,i feel guilty whenever i rest so ive kept going until i have nearly nothing left,burnout,fitness
AIFIT-EMO-291,i am looking forward to learning something new this afternoon,high motivation,general
AIFIT-EMO-292,ive been coping with constant demands for months and i cant keep pretending im fine,burnout,general
AIFIT-EMO-293,i had lunch at around 1 this afternoon,neutral,general
AIFIT-EMO-294,i am getting things done but it feels like im doing it on autopilot,burnout,general
AIFIT-EMO-295,ive been sitting around waiting to feel ready but it isnt happening,low motivation,fitness
AIFIT-EMO-296,i keep thinking about starting but never make the first move,low motivation,general
AIFIT-EMO-297,i was looking forward to training but i keep yawning between every set,fatigue,fitness
AIFIT-EMO-298,i want to train but even climbing the stairs felt tiring today,fatigue,fitness
AIFIT-EMO-299,after months of sticking to the plan i feel more drained than proud,burnout,fitness
AIFIT-EMO-300,ive reached the point where i dont care about doing things well i just want them over,burnout,general
